est_id,DBA Name,bizname,Full Address,formatted_address,name_score,AddressNumber_score,StreetName_score,StreetNamePostType_score,ZipCode_score,dist_miles
12,F & M CIGARS,Foxworth Jr Billy F DDS,"8860 MINNIE BROWN RD  MONTGOMERY, AL 36117","210 Winton M Blount Loop, Montgomery, AL 36117, USA",0.0060576807047182345,0.0,0.3333333333333333,0.0,1.0,41.99509558747603
14,TOBACCO ROAD LIMITED,Havana Dreamin,"2073 COLISEUM BLVD  MONTGOMERY, AL 36110","2061 Carter Hill Rd, Montgomery, AL 36106, USA",0.0,0.0,0.0,0.0,0.0,0.2350132488597567
40,7-ELEVEN,Alon Gas Station,"HWY. 191  MANY FARMS, AZ 86538","US-191, Many Farms, AZ 86538, USA",0.0,,0.0,,1.0,0.16095280502075615
70,CONOCO,Giant,"U.S. 160  KAYENTA, AZ 86033","U.S. 160-163, Kayenta, AZ 86033, USA",0.0,,,,1.0,0.03415287991932728
100,K.C. MINI MART,Keams Canyon Mustang/Auto Parts,"MILE POST 403 HWY. 264  KEAMS CANYON, AZ 86034","403 AZ-264, Keams Canyon, AZ 86034, USA",0.0,1.0,0.0,,1.0,0.00021910373019109284
250,CIGARETTES/TOBACCO DISCOUNT,Postal Palm Springs,"1717 E. VISTA CHINO  STE. A6  PALM SPRINGS, CA 92264","1717 E Vista Chino Ste A7, Palm Springs, CA 92262, USA",0.0,1.0,1.0,,0.0,0.03543533932742116
353,ALTERNATIVE ACCESSORIES,BlazeNJs,"695 ORO DAM BLVD E  OROVILLE, CA 95965","695 Oroville Dam Blvd E, Oroville, CA 95965, USA",0.0,1.0,0.5,1.0,1.0,2.8540931735786628
435,SEMINOLE CIGAR COMPANY,First American Tobacco Shop,"5980 S STATE ROAD 7  DAVIE, FL 33314","6400, 5990 FL-7, Davie, FL 33314, USA",0.0,,,,1.0,1.302003158487443
455,DEANOS,Exxon,"13834 HIGHWAY 12  OROFINO, ID 83544","13834 US-12, Orofino, ID 83544, USA",0.0,1.0,0.0,,1.0,0.009227143483147364
483,EXXON,Gas Station,"1823 HWY. 95  WINCHESTER, ID 83555","1823 US-95 BUS, Winchester, ID 83555, USA",0.0,1.0,0.0,,1.0,0.14362901774995462
486,GLENWOOD IGA FOODLINER,Orofino Marketplace,"1130 MI AVE.  OROFINO, ID 83544","1130 Michigan Ave, Orofino, ID 83544, USA",0.0,1.0,0.0,1.0,1.0,0.5180661829782343
504,SMOKERS EXPRESS LLC,Big Smoke,"1506 NORTHWEST BLVD  COEUR D ALENE, ID 83814","213 W Appleway Ave Ste 1, Coeur d'Alene, ID 83814, USA",0.0,0.0,0.0,0.0,1.0,0.0752887804237408
527,TUNICA-BILOXI EAGLE FUELS,Tunica Biloxi Regional Indian Center & Museum Complex,"HWY. 1  MARKSVILLE, LA 71351","151 Melacon Rd, Marksville, LA 71351, USA",0.0,,0.0,,1.0,0.0988376474485783
572,BENT TREE MARKET,Mobil,"58878 M-51 SOUTH  DOWAGIAC, MI 49047","58878 M-51, Dowagiac, MI 49047, USA",0.0,1.0,0.0,,1.0,0.07584882708415637
582,BEJOU CENEX,Bendickson General Store,"218 HWY. 59 N.  BEJOU, MN 56516","218 US-59, Bejou, MN 56516, USA",0.0,1.0,0.0,,1.0,0.011217797011543577
614,DAKOTA LIQUORS,MGM Wine & Spirits,"14065 COMMERCE AVE. N.E.  PRIOR LAKE, MN 55372","1437, 14173 Commerce Ave NE, Prior Lake, MN 55372, USA",0.0,0.0,0.5,1.0,1.0,0.008593280110952832
660,TAYLOR BAITS AND TACKLE,Bone's 113 Gas station,"2303 STATE HIGHWAY 113  WAUBUN, MN 56589","2303 MN-113, Waubun, MN 56589, USA",0.0,1.0,0.0,,1.0,0.013879867324651149
663,E-Z ONE STOP,EZ-1-Stop,"3194 U.S. HWY. 59  WAUBUN, MN 56589","3194 US-59, Waubun, MN 56589, USA",0.0,1.0,0.0,,1.0,0.0346461463009123
675,BEAULIEU'S GAS & STORE,Red Lake Foods,"STATE HWY. 1  RED LAKE, MN 56671","MN-1, Red Lake, MN 56671, USA",0.0,,0.0,,1.0,0.1510364777037093
681,THE BEZHIGWAABIK STORE,Seven Clans Casino,"HWY. 89  RED LAKE, MN 56671","10200 MN-89, Red Lake, MN 56671, USA",0.0,,0.0,,1.0,0.19463841972951207
682,THE OTHER STORE,Red Lake IGA,"446 HWY. 1 E.  RED LAKE, MN 56670","MN-1, Red Lake, MN 56671, USA",0.0,0.0,0.0,,0.0,5.271035760074102
719,STAR MART,Lucky 7 Liquor Store,"785 U.S. HIGHWAY 59  MAHNOMEN, MN 56557","785 US-59, Mahnomen, MN 56557, USA",0.0,1.0,0.0,,1.0,9.283114586366991e-13
728,EXXON,Gas Station,"10417 HWY. 489  CONEHATTA, MS 39057","10417 MS-489, Conehatta, MS 39057, USA",0.0,1.0,0.0,,1.0,0.010453923517905698
734,BIG HORN CASINO,Bighorn Angler Fly Shop & Lodge,"1 MAIN ST. PARKDALE CT.  FORT SMITH, MT 59035","577 N Park Dale Ct, Fort Smith, MT 59035, USA",0.0,0.0,0.0,0.0,1.0,0.01241549314738268
735,BIG HORN IGA,Reese & Ray's,"901 N. CENTER ST.  HARDIN, MT 59034","901 North Center, Hardin, MT 59034, USA",0.0,1.0,0.5,0.0,1.0,0.05806525018159985
745,B&S QWIK STOP,B & S Laundry,"U.S. 2  BROCKTON, MT 59255","701 B St, Brockton, MT 59213, USA",0.0,,,,0.0,0.040212148332826686
757,WATER HOLE,Wolf Point Swimming Pool,"100 3RD AVE. S.  WOLF POINT, MT 59201","1225 6th Ave N, Wolf Point, MT 59201, USA",0.0,0.0,0.0,1.0,1.0,0.05180477091841683
780,DYNO-MART - SINCLAIR,DYNA MART,"62945 U.S. 93  RONAN, MT 59864","303 US-93, Ronan, MT 59864, USA",0.0,0.0,0.0,,1.0,0.011302188927357213
803,Y QUICK STOP & DELI,The Cornerstone Convenience Store,"1893 MT HWY. 28  HOT SPRINGS, MT 59845","1893 MT-28, Hot Springs, MT 59845, USA",0.0,1.0,0.0,,1.0,2.9572720133641064
848,LADOTS,La Dots,"HWY. 5 & U.S. 281  BELCOURT, ND 58316","1010 Hospital Rd,, Belcourt, ND 58316, USA",0.0,,,,1.0,2.8309898265874445
851,T & M CONVENIENCE STORE,Zabenko Robert T DO,"9712 HWY. 281  BELCOURT, ND 58316","PO Box 160, Belcourt, ND 58316, USA",0.004084671408824149,,,,1.0,23.526755826851254
871,5TH QUARTER BAR & GRILL,Schrieb's Bar,"202 S. MAIN ST.  THURSTON, NE 68062","202 Main St, Pender, NE 68047, USA",0.011876484560570073,1.0,1.0,1.0,0.0,0.045744165642917854
886,SPORTSMAN'S INN,The Sportsman Bar & Grill,"1808 NEW MEXICO 173  NAVAJO DAM, NM 87419","1810 NM-173, Navajo Dam, NM 87419, USA",0.0,0.0,0.0,,1.0,0.1138599631603682
899,SEVEN TO ELEVEN,Gulf,"E 64 HWY  SHIPROCK, NM 87420","US-491, Shiprock, NM 87420, USA",0.0,,,,1.0,11.665143095592839
903,KEWA CAFE,"Pueblo Gas, Inc.","1 EAST HIGHWAY 22  SANTO DOMINGO, NM 87052","Interstate 25 Exit 259 State, Route 22, Kewa Pueblo, NM 87052, USA",0.0,,,,,151.13706058139826
904,SEVEN TO ELEVEN FOOD STORE,Gulf,"HWY 491  SHIPROCK, NM 87420","US-491, Shiprock, NM 87420, USA",0.0,,,,1.0,0.014960405318359212
906,CITGO,Shell,"US-491 & US-64  Shiprock, NM 87420","US-64, Shiprock, NM 87420, USA",0.0,,,,1.0,0.002890900086467193
907,SEVEN ELEVEN,Gulf,"HWY 64  SHIPROCK, NM 87420","US-491, Shiprock, NM 87420, USA",0.0,,,,1.0,0.06355366664620765
911,DINO MART / SINCLAIR,Shiprock Express,"HIGHWAY 491 NORTH  SHIPROCK, NM 87420","US-491, Shiprock, NM 87420, USA",0.0,,,,1.0,201.66332131400767
912,MUSTANG,Giant,"ROAD 371 MAIN STREET  CROWNPOINT, NM 87313","Chaco Blvd, Crownpoint, NM 87313, USA",0.0,,0.0,0.0,1.0,9.335864995506244
916,OH KAY MARKET AND PHILLIPS 66,Ohkay Owingeh Tribal Court,"TAOS HWY  SAN JUAN PUEBLO, NM 87566","227 Po'Pay Ave, Ohkay Owingeh, NM 87566, USA",0.0,,0.0,0.0,1.0,0.1578103015328686
944,PICURIS SMOKE SHOP,Family Dollar,"1378 S.R. 75  PENASCO, NM 87553","15052 NM-75, Peñasco, NM 87553, USA",0.0,0.0,0.0,,1.0,0.7566526600195059
947,KICKS 66,Phillips 66,"HWY. 84/285 & W. GUTIERREZ  SANTA FE, NM 87506","67 Ogo Wii Rd, Santa Fe, NM 87506, USA",0.0014481759878629062,,0.0,,1.0,4.872493565084269
1002,MUSTANG,Giant,"491 S. HWY. 64 W.  SHIPROCK, NM 87420","3215 US-64, Waterflow, NM 87421, USA",0.0,0.0,0.0,,0.0,0.017128282257508832
1053,TINDERBOX LLC.,tinder box llc,"12300 WESTRIDGE DR  RENO, NV 89511","316 California Ave, Reno, NV 89509, USA",0.0,0.0,0.0,0.0,0.0,0.037695502570534105
1071,24 HOUR GAS & TOBACCO,Iroquois Smoke Shop,"14411 ROUTE 438  GOWANDA, NY 14070","14411 NY-438, Gowanda, NY 14070, USA",0.0,1.0,0.0,,1.0,0.028245113984008544
1107,SOVERIGN SENECA TOBACCO,Heron's Landing,"1356 CAYUGA RD  IRVING, NY 14081","11186 Southwestern Blvd, Irving, NY 14081, USA",0.0,0.0,0.0,0.0,1.0,0.7530874695575217
1165,SMOKE SHOP,Tebbs 2 Smokeshop,"1008 TERRITORY RD.  ONEIDA, NY 13142","120 N Main St, Oneida, NY 13421, USA",0.0,0.0,0.0,0.0,0.0,0.025522652869679845
1205,KANIEN'KEHAKA CONVENIENCE STORE AND GAS STATION,Twinleaf Diner Akwesasne,"155 STATE ROUTE 37  AKWESASNE, NY 13655","18 NY-37, Hogansburg, NY 13655, USA",0.0,0.0,0.0,,1.0,0.05435484605647711
1225,TONKAWA SMOKE SHOP,Tonkwa Smokshop,"10750 ALLEN DR  TONKAWA, OK 74659","22-11754 Allen Dr, Tonkawa, OK 74653, USA",0.0,0.0,1.0,1.0,0.0,0.015822731001859026
1232,VELERO/THUNDERBIRD EXPRESS/AST GROCER,Thunderbird Grocery,"15730 E HWY 9  NORMAN, OK 73026","10750 OK-9, Norman, OK 73026, USA",0.0,0.0,0.0,,1.0,0.4186393158449622
1280,AST CONVENIENCE STORE,Alameda Market,"15700 E. STATE HWY. 9  NORMAN, OK 73026","7500 Alameda Dr, Norman, OK 73026, USA",0.0,0.0,0.0,,1.0,0.04396899905621415
1332,SMOKE SHOP / FUEL,Grand Travel Plaza,"777 GRAND CASINO BOULEVARD  SHAWNEE, OK 74801","765 Grand Casino Blvd, Shawnee, OK 74804, USA",0.0,0.0,1.0,1.0,0.0,1.4923991192428898
1346,ARTESIAN GIFT SHOP,Smiths Okie Twister Co,"23 WEST VINITA  SULFUR, OK 73086","10 W Muskogee Ave, Sulphur, OK 73086, USA",0.0,0.0,0.0,,1.0,0.027517873288310964
1364,RENAISSANCE GIFT SHOP,Newcastle Casino,"2457 HWY. 62 SERVICE RD.  NEWCASTLE, OK 73565","2457 Highway 62 Service Rd, Newcastle, OK 73065, USA",0.0,1.0,1.0,1.0,0.0,0.002544288190463144
1390,PAWNEE TRAVEL PLAZA,StoneWolf Casino,"54251 S. 349 RD.  PAWNEE, OK 74058","54251 S 34900 Rd, Pawnee, OK 74058, USA",0.0,1.0,0.0,1.0,1.0,0.04434707127053186
1415,RIVERMIST CONVENIENCE STORE,Seminole Nation River Mist,"14313 HIGHWAY 99  KONAWA, OK 74849","14313 OK-99, Konawa, OK 74849, USA",0.0,1.0,0.0,,1.0,3.732556861438334
1435,HWY 60 EXPRESS LLC,First Assembly of God Church,"800 W MAIN ST  PAWHUSKA, OK 74056","26706 US-60, Pawhuska, OK 74056, USA",0.0,0.0,0.0,,1.0,20.59649405018143
1441,BENTON-CHANDLER INC,Benton's Cafe,"905 E INDEPENDENCE ST  SHAWNEE, OK 74804","126 N Broadway Ave, Shawnee, OK 74801, USA",0.0,0.0,0.0,0.0,0.0,0.00039681373348662505
1484,VAPE 4 LESS,Native Beads & Medicine,"923 SOUTH MAIN STREET  SAPULPA, OK 74066","808 E Taft Ste. A2, Sapulpa, OK 74066, USA",0.0,0.0,0.0,,1.0,7251.9256748711
1486,GRAND RONDE STATION,Shell,"26820 SALMON RIVER HWY  GRAND RONDE, OR 97347","26820 OR-18, Grand Ronde, OR 97347, USA",0.0,1.0,0.0,,1.0,0.24327530588501975
1505,THE CIGARETTE STORE INC,Big Smoke,"1906 SW 44TH ST  PENDLETON, OR 97801","407 SW 19th St, Pendleton, OR 97801, USA",0.0,0.0,0.0,1.0,1.0,0.012514534760654112
1514,WEISSER OIL CO.,Midtowne Oil,"130 E HWY 50  WAGNER, SD 57380","130 SD-46, Wagner, SD 57380, USA",0.008264462809917356,1.0,0.0,,1.0,0.21280162191011695
1525,SIOUX BOYS,Lower Brule Elementary School,"32908 IRON NATION RD  LOWER BRULE, SD 57548","600 Crazy Horse St, Lower Brule, SD 57548, USA",0.0,0.0,0.0,0.0,1.0,3.0709919848373293
1526,Y S TRAVEL PLAZA,"Donlin Marine LLC Pickstown, SD","38541 SD HWY 18  PICKSTOWN, SD 57367","103 US-18, Pickstown, SD 57367, USA",0.0,0.0,0.0,,1.0,0.25288248810029906
1542,SIOUX NATION,Taco John's,"EAST HWY 18 (BEHIND TACO JOHNS)  PINE RIDGE, SD 57770","500 US-18, Pine Ridge, SD 57770, USA",0.0,,0.0,,1.0,0.006370662601398547
1543,YELLOWBIRD STATION,Yellow Birds,"600 HWY 18 PO BOX 1580 PINE RIDGE, SD 57770","US-18, Pine Ridge, SD 57770, USA",0.0,,,,1.0,0.1439682610867779
1560,MISSION SHOPPING CEN,Starlite Snack Shop,"185 N MAIN ST PO BOX 86 MISSION, SD 57555","286 2nd St, Mission, SD 57555, USA",0.0,0.0,0.0,1.0,1.0,0.03824295824401508
1582,AMPRIDE,Country Pride Co-Op Inc,"W. HWY. 18  MISSION, SD 57555","PO Box 68, Mission, SD 57555, USA",0.0,,,,1.0,0.26612006433965685
1602,BRULE HILLS TRADING POST,KWO Trading Post,"181 BIA RTE. 5  LOWER BRULE, SD 57548","BIA Rd 17, Lower Brule, SD 57548, USA",0.004737724947848061,,0.0,,1.0,0.2387372364916435
1714,J & J SMOKE SHOP,"Trace J. Paul, LMP","17 CROWDER RDN  OKANOGAN, WA 98840","1161 2nd Avenue South, Okanogan, WA 98840, Okanogan, WA 98840, USA",0.019411491946582697,,,,,1.8117955599354487
1748,TWO RIVERS SPOKO FUEL STATION,Texaco Davenport,"6828 HWY. 25 S.  DAVENPORT, WA 99122","6828 WA-25, Davenport, WA 99122, USA",0.0,1.0,0.0,,1.0,5.827346923699102
1770,CHEVRON,101 Outpost,"271022 HWY. 101  SEQUIM, WA 98382","822 E Washington St, Sequim, WA 98382, USA",0.0,0.0,0.0,,1.0,0.2854795587523803
1814,MANDISH ENTERPRISES INC,T W Enterprises Inc,"6185 VISTA DR  FERNDALE, WA 98248","7042 Portal Way #130, Ferndale, WA 98248, USA",0.8695652173913043,0.0,0.0,0.0,1.0,
1818,RICH IN SMOKE,B J's Smoke Shop Drive Thru,"8425 S HOSMER ST STE C  TACOMA, WA 98444","1305 Alexander Ave E, Fife, WA 98424, USA",0.5955655626058958,0.0,0.0,0.0,0.0,
1822,THE CIGAR STORE,Smoke Town,"410 E BALD EAGLE DR  SHELTON, WA 98584","2121 Olympic Hwy N # 115, Shelton, WA 98584, USA",0.0,0.0,0.0,0.0,1.0,
1838,MOLE LAKE CONVENIENCE STORE,BP,"3156 SATE HWY. 55  CRANDON, WI 54520","3156 WI-55, Crandon, WI 54520, USA",0.0,1.0,0.0,,1.0,
1847,CASINO MOTEL AND CONVENTION CENTER,Ho-Chunk Gaming Wisconsin Dells,"S3214 HWY. 12  BARABOO, WI 53913","S3214 County Highway BD, Baraboo, WI 53913, USA",0.0,1.0,0.0,,1.0,
1880,HILL STOP (BP),ATM (Hillstop),"N929 HWY 47  KESHENA, WI 54135","n929 WI-47, Keshena, WI 54135, USA",0.0,1.0,0.0,,1.0,
1904,UNITED TRIBE,Oneida Tribe-Indians-Wisconsin,"2514 W MASON ST  GREEN BAY, WI 54303","909 Packerland Dr, Green Bay, WI 54304, USA",0.0,0.0,0.0,0.0,0.0,
1927,THE SMOKE SHOP  TATTOO & PIERCING,Idle Hands Tattoo,"530 N BROADWAY AVE.  RIVERTON, WY 82501","202 Railway Plz, Riverton, WY 82501, USA",0.3067992288352268,0.0,0.0,0.0,1.0,
