,Unnamed: 0,IMPAQ_ID,REI,DBA Name,Address Line 1,Address Line 2,City,State,Zip,Latitude,Longitude,Full Address,matchsource,est_id,found_pic,Manual Result,name_update,addr_update,lat_update,lon_update,biz_status,DBA Name_update,Full Address_update,Latitude_update,Longitude_update,Coordinates,On Tribe Land,Miles to Nearest Tribe,Assoc Tribe,Assoc Res,Nearest Tribe,Nearest Res,ori_flg,Owner Name,Owner City,Owner State,Non-Corporate Owned,Niel_id,Address Line 1_update,City_update,State_update,Zip_update,County,County_update,SoS_record,entity,agent_name,agent_address,agent_city,agent_state,agent_zip
0,1058,1058,NY604020,PETRO SHOPPING CENTER #371 FUE,1255 ROUTE 414,,WATERLOO,NY,13165,42.96811295,-76.84720290000001,"1255 ROUTE 414  WATERLOO, NY 13165",Original,1058.0,,,Can't Validate,Can't Validate,Can't Validate,Can't Validate,Can't Validate,PETRO SHOPPING CENTER #371 FUE,"1255 ROUTE 414 WATERLOO, NY 13165",42.96811295,-76.84720290000001,POINT (-76.84720290000001 42.96811295),No,43.32418868,,,Onondaga Nation,Onondaga Nation Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,SENECA,SENECA,,,,,,,
1,1059,1059,NY687511,49 EXPRESS,411 BLOOMINGDALE RD,,AKRON,NY,14001,43.045889,-78.45609,"411 BLOOMINGDALE RD  AKRON, NY 14001",Original,1059.0,1.0,yes,49 EXPRESS PIT STOP,"409 Bloomingdale Rd, Akron, NY 14001, USA",43.0520029,-78.4500742,Active,49 EXPRESS PIT STOP,"409 Bloomingdale Rd, Akron, NY 14001, USA",43.0520029,-78.4500742,POINT (-78.4500742 43.0520029),Yes,0.0,Tonawanda,Tonawanda Reservation,,,From Original List,,,,,,409 BLOOMINGDALE RD,AKRON,NY,14001,,GENESEE,,,,,,,
2,1060,1060,NY687966,A J CIGAR,12587 ROUTE 438,,IRVING,NY,14081,42.51102,-78.96547,"12587 ROUTE 438  IRVING, NY 14081",Original,1060.0,,,Correct,"11318 US-20, Irving, NY 14081, USA",42.5261319,-78.9749942,Active,A J CIGAR,"11318 US-20, Irving, NY 14081, USA",42.526131899999996,-78.9749942,POINT (-78.9749942 42.5261319),Yes,0.0,Cattaraugus,Cattaraugus Reservation,,,From Original List,,,,,,11318 US-20,IRVING,NY,14081,,ERIE,,,,,,,
3,1061,1061,NY687979,AK GAS/CITGO,1569 STATE ROUTE 37,,HOGANSBURG,NY,13655,44.967494,-74.57593,"1569 STATE ROUTE 37  HOGANSBURG, NY 13655",Original,1061.0,1.0,yes,Correct,"1569 NY-37, Hogansburg, NY 13655, USA",44.9676369,-74.5770192,Active,AK GAS/CITGO,"1569 NY-37, Hogansburg, NY 13655, USA",44.9676369,-74.57701920000001,POINT (-74.57701920000002 44.9676369),Yes,0.0,St. Regis Mohawk,St. Regis Mohawk Reservation,,,From Original List,,,,,,1569 -37,HOGANSBURG,NY,13655,,FRANKLIN,,,,,,,
4,1062,1062,NY688226,AKWESASNE MINI MART,155 STATE HIGHWAY 37,,HOGANSBURG,NY,13655,44.977939,-74.70853000000002,"155 STATE HIGHWAY 37  HOGANSBURG, NY 13655",Original,1062.0,,,Correct,"397 NY-37, Hogansburg, NY 13655, USA",44.9782629,-74.7095985,Active,AKWESASNE MINI MART,"397 NY-37, Hogansburg, NY 13655, USA",44.9782629,-74.7095985,POINT (-74.7095985 44.9782629),Yes,0.0,St. Regis Mohawk,St. Regis Mohawk Reservation,,,From Original List,,,,,,397 -37,HOGANSBURG,NY,13655,,FRANKLIN,265974.0,"AKWESASNE CULTURAL CENTER, INC.",,,,,
5,1063,1063,NY688611,ANOTHER DAMN CIGARETTE STORE,76 BEAVER MEADOW RD,,HOGANSBURG,NY,13655,44.956391,-74.57500999999998,"76 BEAVER MEADOW RD  HOGANSBURG, NY 13655",Original,1063.0,,,Correct,"86 Beaver Meadow Rd, Hogansburg, NY 13655, USA",44.952681,-74.5750052,Active,ANOTHER DAMN CIGARETTE STORE,"86 Beaver Meadow Rd, Hogansburg, NY 13655, USA",44.952681,-74.5750052,POINT (-74.57500519999998 44.95268100000001),Yes,0.0,St. Regis Mohawk,St. Regis Mohawk Reservation,,,From Original List,,,,,,86 BEAVER MEADOW RD,HOGANSBURG,NY,13655,,FRANKLIN,,,,,,,
6,1064,1064,NY688626,ANTONE'S,101 CENTRAL AVE,,SALAMANCA,NY,14779,42.1614963,-78.69628,"101 CENTRAL AVE  SALAMANCA, NY 14779",Original,1064.0,,,Correct,Correct,Correct,Correct,Active,ANTONE'S,"101 CENTRAL AVE SALAMANCA, NY 14779",42.161496299999996,-78.69628,POINT (-78.69628 42.1614963),Yes,0.0,Allegany,Allegany Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,CATTARAUGUS,,,,,,,
7,1065,1065,NY689476,BELLE BELLE SMOKE SHOP,174 POOSPATUCK LN,,MASTIC,NY,11950,40.789246,-72.83246,"174 POOSPATUCK LN  MASTIC, NY 11950",Original,1065.0,,,Correct,Correct,Correct,Correct,Active,BELLE BELLE SMOKE SHOP,"174 POOSPATUCK LN MASTIC, NY 11950",40.789246,-72.83246,POINT (-72.83246 40.789246),No,64.71443583,,,Mohegan,Mohegan Off-Reservation Trust Land,From Original List,,,,,,No changes,No changes,No changes,No changes,,SUFFOLK,,,,,,,
8,1066,1066,NY689627,BIG BOYS,20 RAQUETTE POINT ROAD,,HOGANSBURG,NY,13655,44.980234,-74.71945,"20 RAQUETTE POINT ROAD  HOGANSBURG, NY 13655",Original,1066.0,0.0,,BIG BOY,Correct,Correct,Correct,Active,BIG BOY,"20 RAQUETTE POINT ROAD HOGANSBURG, NY 13655",44.980234,-74.71945,POINT (-74.71944999999999 44.980234),Yes,0.0,St. Regis Mohawk,St. Regis Mohawk Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,FRANKLIN,,,,,,,
9,1067,1067,NY689797,BLOOMING FLOWER SMOKE SHOP,149 SQUAW LN,,MASTIC,NY,11950,40.791032,-72.82999000000002,"149 SQUAW LN  MASTIC, NY 11950",Original,1067.0,,,Correct,Correct,Correct,Correct,Active,BLOOMING FLOWER SMOKE SHOP,"149 SQUAW LN MASTIC, NY 11950",40.791032,-72.82999000000001,POINT (-72.82999000000002 40.791032),No,64.51705469,,,Mohegan,Mohegan Off-Reservation Trust Land,From Original List,,,,,,No changes,No changes,No changes,No changes,,SUFFOLK,,,,,,,
10,1068,1068,NY690160,BROAD STREET SMOKE SHOP,693 BROAD ST,,SALAMANCA,NY,14779,42.158906,-78.74041,"693 BROAD ST  SALAMANCA, NY 14779",Original,1068.0,1.0,yes,BROAD STREET SMOKE SHOP SALE,"316 Center St, Salamanca, NY 14779, USA",42.1646863,-78.7445304,Active,BROAD STREET SMOKE SHOP SALE,"316 Center St, Salamanca, NY 14779, USA",42.16468629999999,-78.7445304,POINT (-78.7445304 42.16468630000001),Yes,0.0,Allegany,Allegany Reservation,,,From Original List,,,,,,316 CENTER ST,SALAMANCA,NY,14779,,CATTARAUGUS,,,,,,,
11,1069,1069,NY690850,CHARISE SMOKES,13 SQUAW LANE,,MASTIC,NY,11950,40.7903032,-72.83068,"13 SQUAW LANE  MASTIC, NY 11950",Original,1069.0,,,Correct,Correct,Correct,Correct,Active,CHARISE SMOKES,"13 SQUAW LANE MASTIC, NY 11950",40.790303200000004,-72.83068,POINT (-72.83068 40.7903032),No,64.58251779,,,Mohegan,Mohegan Off-Reservation Trust Land,From Original List,,,,,,No changes,No changes,No changes,No changes,,SUFFOLK,,,,,,,
12,1070,1070,NY691619,CRAZY HORSE WHOLESALE,14195 ROUTE 438,,GOWANDA,NY,14070,42.489928000000006,-78.95281,"14195 ROUTE 438  GOWANDA, NY 14070",Original,1070.0,,,Correct,"14195 NY-438, Gowanda, NY 14070, USA",42.4798135,-78.9400099,Active,CRAZY HORSE WHOLESALE,"14195 NY-438, Gowanda, NY 14070, USA",42.4798135,-78.9400099,POINT (-78.94000989999998 42.4798135),No,0.257375509,,,Cattaraugus,Cattaraugus Reservation,From Original List,,,,,,14195 -438,GOWANDA,NY,14070,,ERIE,,,,,,,
13,1071,1071,NY691669,24 HOUR GAS & TOBACCO,14411 ROUTE 438,,GOWANDA,NY,14070,42.483336,-78.94759,"14411 ROUTE 438  GOWANDA, NY 14070",Original,1071.0,1.0,yes,Correct,Correct,Correct,Correct,Active,24 HOUR GAS & TOBACCO,"14411 ROUTE 438 GOWANDA, NY 14070",42.483336,-78.94759,POINT (-78.94759000000001 42.483336),Yes,0.0,Cattaraugus,Cattaraugus Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,ERIE,,,,,,,
14,1072,1072,NY691820,CURTYS SMOKE SHOP,148 POOSPATUCK LN,,MASTIC,NY,11950,40.788937,-72.83466999999997,"148 POOSPATUCK LN  MASTIC, NY 11950",Original,1072.0,,,Correct,Correct,Correct,Correct,Closed,CURTYS SMOKE SHOP,"148 POOSPATUCK LN MASTIC, NY 11950",40.788937,-72.83466999999999,POINT (-72.83466999999997 40.788937),No,64.83322533,,,Mohegan,Mohegan Off-Reservation Trust Land,From Original List,,,,,,No changes,No changes,No changes,No changes,,SUFFOLK,,,,,,,
15,1073,1073,NY692767,EAGLE FEATHER SMOKE SHOP,52 MONTAUK HIGHWAY,,SOUTHAMPTON,NY,11968,40.884887,-72.42873,"52 MONTAUK HIGHWAY  SOUTHAMPTON, NY 11968",Original,1073.0,,,Correct,Correct,Correct,Correct,Active,EAGLE FEATHER SMOKE SHOP,"52 MONTAUK HIGHWAY SOUTHAMPTON, NY 11968",40.884887,-72.42873,POINT (-72.42873 40.884887),No,43.44396237,,,Mohegan,Mohegan Off-Reservation Trust Land,From Original List,,,,,,No changes,No changes,No changes,No changes,,SUFFOLK,,,,,,,
16,1074,1074,NY692788,EAST END,1995 LENOX ROAD,,COLLINS,NY,14034,42.520116,-78.94304,"1995 LENOX ROAD  COLLINS, NY 14034",Original,1074.0,,,Correct,Correct,Correct,Correct,Active,EAST END,"1995 LENOX ROAD COLLINS, NY 14034",42.520115999999994,-78.94304,POINT (-78.94304 42.52011599999999),No,0.058230542,,,Cattaraugus,Cattaraugus Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,,ERIE,,,,,,,
17,1075,1075,NY694124,GERONIMO SMOKE SHOP,10 SQUAW LN,,MASTIC,NY,11950,40.79028,-72.83091999999998,"10 SQUAW LN  MASTIC, NY 11950",Original,1075.0,,,Correct,Correct,Correct,Correct,Active,GERONIMO SMOKE SHOP,"10 SQUAW LN MASTIC, NY 11950",40.790279999999996,-72.83091999999999,POINT (-72.83091999999998 40.79028),No,64.59494329,,,Mohegan,Mohegan Off-Reservation Trust Land,From Original List,,,,,,No changes,No changes,No changes,No changes,,SUFFOLK,,,,,,,
18,1076,1076,NY694720,HANK'S SMOKE SHOP,5861 GARLOW ROAD,,LEWISTON,NY,14092,43.139634,-78.96785,"5861 GARLOW ROAD  LEWISTON, NY 14092",Original,1076.0,,,Correct,Correct,Correct,Correct,Active,HANK'S SMOKE SHOP,"5861 GARLOW ROAD LEWISTON, NY 14092",43.139634,-78.96785,POINT (-78.96785 43.139634),No,0.249920695,,,Tuscarora Nation,Tuscarora Nation Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,,NIAGARA,,,,,,,
19,1077,1077,NY694936,HERON'S LANDING,11156 ROUTE 20,,IRVING,NY,14081,42.579115,-79.07732,"11156 ROUTE 20  IRVING, NY 14081",Original,1077.0,,,Correct,"11186 Southwestern Blvd, Irving, NY 14081, USA",42.5791355,-79.0781467,Active,HERON'S LANDING,"11186 Southwestern Blvd, Irving, NY 14081, USA",42.5791355,-79.0781467,POINT (-79.07814669999998 42.57913549999999),Yes,0.0,Cattaraugus,Cattaraugus Reservation,,,From Original List,,,,,,11186 SOUTHWESTERN BLVD,IRVING,NY,14081,,ERIE,,,,,,,
20,1078,1078,NY695703,JAN'S SMOKE & CRAFT SHOP,383 BLOOMINGDALE RD,,AKRON,NY,14001,43.045889,-78.45609,"383 BLOOMINGDALE RD  AKRON, NY 14001",Original,1078.0,,,Correct,Correct,Correct,Correct,Active,JAN'S SMOKE & CRAFT SHOP,"383 BLOOMINGDALE RD AKRON, NY 14001",43.045889,-78.45609,POINT (-78.45609 43.045889),No,0.414655581,,,Tonawanda,Tonawanda Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,,GENESEE,,,,,,,
21,1079,1079,NY695723,JAY'S PLACE,5446 WALMORE ROAD,,LEWISTON,NY,14092,43.152348,-78.93438,"5446 WALMORE ROAD  LEWISTON, NY 14092",Original,1079.0,,,Correct,Correct,Correct,Correct,Active,JAY'S PLACE,"5446 WALMORE ROAD LEWISTON, NY 14092",43.152347999999996,-78.93438,POINT (-78.93438 43.152348),Yes,0.0,Tuscarora Nation,Tuscarora Nation Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,NIAGARA,,,,,,,
22,1080,1080,NY696168,KEN'S SMOKE SHOP,2073 ROUTE 219,,LIMESTONE,NY,14753,42.089942,-78.62985,"2073 ROUTE 219  LIMESTONE, NY 14753",Original,1080.0,,,Correct,Correct,Correct,Correct,Active,KEN'S SMOKE SHOP,"2073 ROUTE 219 LIMESTONE, NY 14753",42.089942,-78.62985,POINT (-78.62985 42.089942),Yes,0.0,Allegany,Allegany Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,CATTARAUGUS,,,,,,,
23,1081,1081,NY696266,KEYE SUPERCENTER,551 MILESTRIP ROAD,,IRVING,NY,14081,42.5732742,-79.08896999999997,"551 MILESTRIP ROAD  IRVING, NY 14081",Original,1081.0,0.0,,KEYES SUPER CENTER,Correct,Correct,Correct,Active,KEYES SUPER CENTER,"551 MILESTRIP ROAD IRVING, NY 14081",42.5732742,-79.08896999999999,POINT (-79.08896999999997 42.5732742),Yes,0.0,Cattaraugus,Cattaraugus Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,ERIE,,,,,,,
24,1082,1082,NY696492,Papa's Place Smoke Shop,10924 LAKE SHORE RD,,IRVING,NY,14081,42.60588900000001,-79.10249,"10924 LAKE SHORE RD  IRVING, NY 14081",Original,1082.0,,,Correct,Correct,Correct,Correct,Active,Papa's Place Smoke Shop,"10924 LAKE SHORE RD IRVING, NY 14081",42.605889000000005,-79.10249,POINT (-79.10249 42.60588900000001),No,1.329266848,,,Cattaraugus,Cattaraugus Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,,ERIE,,,,,,,
25,1083,1083,NY697334,M & M ALLEGHANY JUNCTION,2165 ROUTE 219,,LIMESTONE,NY,14753,42.094619,-78.62791999999997,"2165 ROUTE 219  LIMESTONE, NY 14753",Original,1083.0,,,Correct,Correct,Correct,Correct,Active,M & M ALLEGHANY JUNCTION,"2165 ROUTE 219 LIMESTONE, NY 14753",42.094619,-78.62791999999999,POINT (-78.62791999999997 42.094619),Yes,0.0,Allegany,Allegany Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,CATTARAUGUS,,,,,,,
26,1084,1084,NY697367,M J ENTERPRISES,5001 ROUTE 417,,ALLEGANY,NY,14706,42.095906,-78.58006,"5001 ROUTE 417  ALLEGANY, NY 14706",Original,1084.0,,,Correct,"5001 NY-417, Allegany, NY 14706, USA",42.0962415,-78.5801115,Active,M J ENTERPRISES,"5001 NY-417, Allegany, NY 14706, USA",42.0962415,-78.5801115,POINT (-78.5801115 42.0962415),Yes,0.0,Allegany,Allegany Reservation,,,From Original List,,,,,,5001 -417,ALLEGANY,NY,14706,,CATTARAUGUS,,,,,,,
27,1085,1085,NY698387,MONTAUK NATIVE GASOLINE STA,182 POOSPATUCK LN,,MASTIC,NY,11950,40.789318,-72.83178000000002,"182 POOSPATUCK LN  MASTIC, NY 11950",Original,1085.0,,,Correct,"182C, Poospatuck Ln, Mastic, NY 11950, USA",40.7892892,-72.8313806,Active,MONTAUK NATIVE GASOLINE STA,"182C, Poospatuck Ln, Mastic, NY 11950, USA",40.789289200000006,-72.8313806,POINT (-72.83138060000002 40.78928920000001),No,64.66129723,,,Mohegan,Mohegan Off-Reservation Trust Land,From Original List,,,,,,182C POOSPATUCK LN,MASTIC,NY,11950,,SUFFOLK,1691536.0,MONTAUK NATIVE GAS II INC,,,,,
28,1086,1086,NY698621,NAFCO QUICK STOP,881 BROAD ST,,SALAMANCA,NY,14779,42.157107,-78.7481,"881 BROAD ST  SALAMANCA, NY 14779",Original,1086.0,,,Correct,Correct,Correct,Correct,Active,NAFCO QUICK STOP,"881 BROAD ST SALAMANCA, NY 14779",42.157107,-78.7481,POINT (-78.74809999999999 42.157107),Yes,0.0,Allegany,Allegany Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,CATTARAUGUS,,,,,,,
29,1087,1087,NY698696,NATIVE LAND SMOKE SHOP,136 POOSPATUCK LANE,,MASTIC,NY,11950,40.788737,-72.83545,"136 POOSPATUCK LANE  MASTIC, NY 11950",Original,1087.0,,,Correct,Correct,Correct,Correct,Active,NATIVE LAND SMOKE SHOP,"136 POOSPATUCK LANE MASTIC, NY 11950",40.788737,-72.83545,POINT (-72.83544999999999 40.788737),No,64.87925298,,,Mohegan,Mohegan Off-Reservation Trust Land,From Original List,,,,,,No changes,No changes,No changes,No changes,,SUFFOLK,,,,,,,
30,1088,1088,NY698697,NATIVE SISTERS SMOKE SHOP,189 POOSPATUCK LN,,MASTIC,NY,11950,40.789551,-72.8313,"189 POOSPATUCK LN  MASTIC, NY 11950",Original,1088.0,,,Correct,Correct,Correct,Correct,Active,NATIVE SISTERS SMOKE SHOP,"189 POOSPATUCK LN MASTIC, NY 11950",40.789551,-72.8313,POINT (-72.8313 40.789551),No,64.64571268,,,Mohegan,Mohegan Off-Reservation Trust Land,From Original List,,,,,,No changes,No changes,No changes,No changes,,SUFFOLK,,,,,,,
31,1089,1089,NY698698,NATIVE SONS TOBACCO,50A MONTAUK HIGHWAY,,SOUTHAMPTON,NY,11968,40.8848622,-72.4285,"50A MONTAUK HIGHWAY  SOUTHAMPTON, NY 11968",Original,1089.0,,,Correct,"50 Montauk Hwy A, Southampton, NY 11968, USA",40.8849528,-72.4302982,Active,NATIVE SONS TOBACCO,"50 Montauk Hwy A, Southampton, NY 11968, USA",40.8849528,-72.43029820000001,POINT (-72.43029820000002 40.8849528),No,43.48892811,,,Mohegan,Mohegan Off-Reservation Trust Land,From Original List,,,,,,50 MONTAUK HWY A,SOUTHAMPTON,NY,11968,,SUFFOLK,1741490.0,NATIVE SONS TOBACCO INC.,,,,,
32,1090,1090,NY699659,PAPA'S PLACE II,1712 ROUTE 219,,LIMESTONE,NY,14753,42.076627,-78.63627,"1712 ROUTE 219  LIMESTONE, NY 14753",Original,1090.0,,,Correct,Correct,Correct,Correct,Active,PAPA'S PLACE II,"1712 ROUTE 219 LIMESTONE, NY 14753",42.076627,-78.63627,POINT (-78.63627 42.076627),Yes,0.0,Allegany,Allegany Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,CATTARAUGUS,,,,,,,
33,1091,1091,NY699743,PARKVIEW SUPERMARKET,545 BROAD ST,,SALAMANCA,NY,14779,42.156918,-78.7359,"545 BROAD ST  SALAMANCA, NY 14779",Original,1091.0,,,Correct,Correct,Correct,Correct,Active,PARKVIEW SUPERMARKET,"545 BROAD ST SALAMANCA, NY 14779",42.156918,-78.7359,POINT (-78.7359 42.156918),Yes,0.0,Allegany,Allegany Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,CATTARAUGUS,,,,,,,
34,1092,1092,NY700665,RAINDROPS QUICK STOP,40 MONTAUK HWY,,SOUTHAMPTON,NY,11968,40.8847354,-72.42733,"40 MONTAUK HWY  SOUTHAMPTON, NY 11968",Original,1092.0,,,Correct,Correct,Correct,Correct,Active,RAINDROPS QUICK STOP,"40 MONTAUK HWY SOUTHAMPTON, NY 11968",40.8847354,-72.42733,POINT (-72.42733 40.8847354),No,43.40932847,,,Mohegan,Mohegan Off-Reservation Trust Land,From Original List,,,,,,No changes,No changes,No changes,No changes,,SUFFOLK,,,,,,,
35,1093,1093,NY700701,RANDY'S SMOKE SHOP,1325 UPPER MOUNTAIN ROAD,,LEWISTON,NY,14092,43.172741,-78.98971,"1325 UPPER MOUNTAIN ROAD  LEWISTON, NY 14092",Original,1093.0,,,Correct,Correct,Correct,Correct,Active,RANDY'S SMOKE SHOP,"1325 UPPER MOUNTAIN ROAD LEWISTON, NY 14092",43.172740999999995,-78.98971,POINT (-78.98971 43.17274099999999),Yes,0.0,Tuscarora Nation,Tuscarora Nation Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,NIAGARA,,,,,,,
36,1094,1094,NY701380,SACAJAWEA INDIAN MARKET,888 BLOOMINGDALE RD,,BASOM,NY,14013,43.060547,-78.41891,"888 BLOOMINGDALE RD  BASOM, NY 14013",Original,1094.0,,,SACAJAWEA SMOKE SHOP,Correct,Correct,Correct,Active,SACAJAWEA SMOKE SHOP,"888 BLOOMINGDALE RD BASOM, NY 14013",43.060547,-78.41891,POINT (-78.41891 43.060547),Yes,0.0,Tonawanda,Tonawanda Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,GENESEE,,,,,,,
37,1095,1095,NY701768,SENECA ERIE GAMING CORP,1 FULTON ST,,BUFFALO,NY,14204,42.873902,-78.87149000000002,"1 FULTON ST  BUFFALO, NY 14204",Original,1095.0,1.0,yes,SENECA BUFFALO CREEK CASINO,Correct,Correct,Correct,Active,SENECA BUFFALO CREEK CASINO,"1 FULTON ST BUFFALO, NY 14204",42.873902,-78.87149000000001,POINT (-78.87149000000002 42.873902),No,17.82784914,,,Tuscarora Nation,Tuscarora Nation Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,,ERIE,,,,,,,
38,1096,1096,NY701770,SENECA HICKORY STICK GOLF,4560 CREEK RD,,LEWISTON,NY,14092,43.192871,-79.01785,"4560 CREEK RD  LEWISTON, NY 14092",Original,1096.0,,,Correct,Correct,Correct,Correct,Active,SENECA HICKORY STICK GOLF,"4560 CREEK RD LEWISTON, NY 14092",43.192871000000004,-79.01785,POINT (-79.01785 43.192871),No,1.692566122,,,Tuscarora Nation,Tuscarora Nation Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,,NIAGARA,,,,,,,
